,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
0,189,31,182,1544,31,182
1,471,29,182,393,33,186
2,131,30,184,646,30,184
3,2944,29,183,309,32,184
4,524,32,183,2601,31,184
5,153,31,184,920,29,183
6,1910,31,182,2003,28,183
7,2303,30,184,831,30,181
8,4110,29,180,860,31,182
9,1199,30,182,2631,29,185
10,646,31,185,2944,29,181
11,1199,31,184,920,29,183
12,2631,31,184,153,32,184
13,831,30,181,131,30,183
14,309,32,185,471,29,180
15,860,31,184,1910,32,182
16,393,33,186,524,31,181
17,1544,31,183,4110,30,180
18,2003,30,181,189,31,182
19,2601,31,181,2303,30,184
20,1544,31,182,2944,30,182
21,189,31,182,2303,30,183
22,1910,31,181,831,30,181
23,860,31,183,131,30,183
24,471,31,179,646,30,185
25,309,32,185,524,31,182
26,393,33,186,153,31,184
27,4110,30,179,2631,31,185
28,2003,28,182,920,30,183
29,2601,31,183,1199,30,185
30,920,30,183,2601,31,183
31,646,31,186,860,31,183
32,524,32,183,1910,31,180
33,131,30,184,309,32,185
34,153,32,183,1544,32,182
35,2944,29,181,471,30,179
36,2303,30,184,4110,29,179
37,831,30,181,2003,28,182
38,2631,31,184,393,33,186
39,1199,30,185,189,31,183
40,860,31,181,2303,30,183
41,471,30,179,2631,29,185
42,1910,29,182,920,30,183
43,393,33,186,2944,30,181
44,309,32,185,646,31,186
45,189,31,182,524,32,183
46,2003,30,181,1199,30,185
47,4110,29,179,153,31,184
48,1544,32,182,831,30,183
49,2601,31,181,131,30,185
50,2944,29,181,189,31,183
51,646,31,186,1910,29,183
52,524,32,183,860,31,181
53,920,30,184,471,29,181
54,831,30,181,393,33,186
55,131,30,184,1544,31,181
56,153,31,184,2601,31,183
57,1199,30,184,4110,29,180
58,2631,31,185,2003,27,182
59,2303,30,185,309,31,184
60,860,31,181,2631,31,185
61,189,31,182,646,31,186
62,471,30,180,153,31,185
63,393,33,186,2303,30,183
64,309,32,185,831,29,183
65,1910,27,181,1199,29,182
66,1544,30,182,920,30,185
67,4110,30,179,131,30,183
68,2601,31,184,2944,29,180
69,2003,28,181,524,31,183
70,524,31,183,471,29,181
71,646,30,185,393,33,186
72,2631,31,181,309,30,183
73,920,30,183,4110,30,181
74,1199,30,182,1544,31,182
75,2944,29,181,860,30,184
76,2303,30,181,1910,32,184
77,831,30,181,2601,30,184
78,131,30,182,2003,29,182
79,153,32,182,189,30,183
