,主队身价,主队评价年龄,主队平均身高,客队身价,客队平均年龄,客队平均身高
12,1910,28,182,4110,29,182
13,2003,27,183,2944,28,181
14,920,28,182,524,29,183
15,831,28,181,2303,26,184
16,1622,26,184,679,26,185
17,2631,26,184,860,27,182
18,1544,27,185,646,30,184
19,1504,27,181,1199,30,182
20,679,26,185,1504,27,181
21,4110,27,180,757,27,181
22,2944,27,181,1622,26,183
23,646,30,184,2601,26,183
24,524,29,183,831,29,182
25,1199,29,182,1910,28,182
26,2303,27,183,2631,27,185
27,458,28,180,2003,26,183
28,393,27,183,920,28,182
29,860,27,182,1544,28,184
0,1544,27,182,2303,28,185
1,831,28,181,1199,28,183
2,1504,28,182,458,27,180
3,2003,25,182,679,26,183
4,2631,26,185,524,29,183
5,757,26,182,2944,28,179
6,2601,26,183,860,27,185
7,1622,25,183,4110,27,180
8,1910,27,182,393,27,183
9,920,27,182,646,29,185
10,679,25,185,2303,29,185
11,4110,28,180,920,27,183
12,2003,26,184,1544,27,183
13,2944,27,179,831,28,181
14,1199,29,185,2601,28,181
15,458,27,181,860,27,183
16,1504,27,183,524,29,182
17,757,26,182,2631,25,184
18,1622,27,185,393,27,183
19,1910,27,182,646,30,184
20,920,27,181,1910,27,182
21,646,29,185,4110,27,182
22,860,27,185,757,26,184
23,2601,26,182,679,26,183
24,1544,28,182,1622,26,185
25,831,29,181,2003,28,182
26,2303,28,184,458,28,181
27,393,26,184,1504,25,183
28,524,29,182,1199,29,180
29,2631,27,184,2944,27,181
30,1910,27,181,831,28,181
31,757,26,184,2303,28,184
32,458,28,184,646,30,185
33,4110,26,182,2601,27,180
34,2944,27,181,920,27,182
35,1504,25,178,860,27,185
36,1622,26,185,2631,26,185
37,1199,29,180,1544,27,183
38,2003,25,182,393,27,184
39,679,26,184,524,29,182
40,2631,25,182,1910,27,181
41,2601,26,180,2003,26,185
42,831,28,181,4110,27,180
43,524,29,182,757,27,182
44,920,27,181,679,25,184
45,860,26,185,1199,29,182
46,646,29,185,1622,26,183
47,2303,28,185,1504,26,181
48,393,27,183,2944,26,182
49,1544,27,182,458,28,181
50,920,27,181,757,29,181
51,2631,27,184,679,27,182
52,860,26,185,4110,26,182
53,2601,28,180,1910,27,181
54,2303,27,184,1622,26,184
55,831,28,181,458,28,181
56,1544,28,184,1504,26,181
57,646,31,186,2003,26,184
58,393,27,183,1199,29,182
59,524,29,183,2944,27,181
60,1199,29,182,920,27,182
61,458,28,181,524,28,184
62,4110,28,179,1544,27,183
63,2944,27,181,646,30,186
64,1910,27,181,2303,28,184
65,757,30,179,393,26,184
66,679,26,182,831,28,181
67,1622,26,184,2601,27,181
68,2003,26,184,860,26,185
69,1504,27,183,2631,25,181
