,日期,轮次,主队,比分,客队,主队指数,平指数,客队指数,分析,empty,year
6,12-04 01:30,14,西汉姆,1-5, 阿森纳,4.47,3.58,1.78,欧/析,,16-17
7,12-04 21:30,14,伯恩茅斯,4-3, 利物浦,4.92,3.69,1.70,欧/析,,16-17
8,12-05 00:00,14,埃弗顿,1-1, 曼联,2.88,3.29,2.42,欧/析,,16-17
9,12-06 04:00,14,米堡,1-0, 赫尔城,1.80,3.53,4.44,欧/析,,16-17
0,12-10 20:30,15,沃特福德,3-2, 埃弗顿,2.74,3.28,2.61,欧/析,,16-17
1,12-10 23:00,15,阿森纳,3-1, 斯托克城,1.35,5.08,8.56,欧/析,,16-17
2,12-10 23:00,15,斯旺西,3-0, 桑德兰,2.10,3.25,3.66,欧/析,,16-17
3,12-10 23:00,15,伯恩利,3-2, 伯恩茅斯,2.75,3.30,2.57,欧/析,,16-17
4,12-10 23:00,15,赫尔城,3-3, 水晶宫,2.75,3.32,2.57,欧/析,,16-17
5,12-11 01:30,15,莱切城,4-2, 曼城,5.12,3.69,1.71,欧/析,,16-17
6,12-11 20:00,15,切尔西,1-0, 西布朗,1.27,5.51,11.88,欧/析,,16-17
7,12-11 22:15,15,曼联,1-0, 热刺,2.11,3.31,3.62,欧/析,,16-17
8,12-11 22:15,15,南安普敦,1-0, 米堡,1.55,3.72,7.83,欧/析,,16-17
9,12-12 00:30,15,利物浦,2-2, 西汉姆,1.40,4.53,8.32,欧/析,,16-17
0,12-14 03:45,16,伯恩茅斯,1-0, 莱切城,2.76,3.23,2.59,欧/析,,16-17
1,12-14 03:45,16,埃弗顿,2-1, 阿森纳,3.23,3.29,2.25,欧/析,,16-17
2,12-15 03:45,16,米堡,0-3, 利物浦,5.29,3.64,1.70,欧/析,,16-17
3,12-15 03:45,16,桑德兰,0-1, 切尔西,6.46,4.12,1.52,欧/析,,16-17
4,12-15 03:45,16,西汉姆,1-0, 伯恩利,1.72,3.58,5.11,欧/析,,16-17
5,12-15 04:00,16,热刺,3-0, 赫尔城,1.24,6.13,11.97,欧/析,,16-17
6,12-15 04:00,16,曼城,2-0, 沃特福德,1.22,6.13,14.16,欧/析,,16-17
7,12-15 04:00,16,西布朗,3-1, 斯旺西,1.96,3.35,4.07,欧/析,,16-17
8,12-15 04:00,16,水晶宫,1-2, 曼联,5.09,3.68,1.70,欧/析,,16-17
9,12-15 04:00,16,斯托克城,0-0, 南安普敦,2.79,3.29,2.55,欧/析,,16-17
0,12-17 20:30,17,水晶宫,0-1, 切尔西,5.67,3.72,1.63,欧/析,,16-17
1,12-17 23:00,17,桑德兰,1-0, 沃特福德,2.65,3.28,2.65,欧/析,,16-17
2,12-17 23:00,17,斯托克城,2-2, 莱切城,2.45,3.19,2.94,欧/析,,16-17
3,12-17 23:00,17,米堡,3-0, 斯旺西,2.02,3.32,3.77,欧/析,,16-17
4,12-17 23:00,17,西汉姆,1-0, 赫尔城,1.65,3.71,5.40,欧/析,,16-17
5,12-18 01:30,17,西布朗,0-2, 曼联,4.79,3.54,1.75,欧/析,,16-17
6,12-18 21:30,17,伯恩茅斯,1-3, 南安普敦,2.82,3.26,2.49,欧/析,,16-17
7,12-19 00:00,17,热刺,2-1, 伯恩利,1.27,5.71,10.25,欧/析,,16-17
8,12-19 00:00,17,曼城,2-1, 阿森纳,1.92,3.40,4.06,欧/析,,16-17
9,12-20 04:00,17,埃弗顿,0-1, 利物浦,3.49,3.38,2.12,欧/析,,16-17
0,12-26 20:30,18,沃特福德,1-1, 水晶宫,2.20,3.33,3.33,欧/析,,16-17
1,12-26 23:00,18,莱切城,0-2, 埃弗顿,2.30,3.38,3.10,欧/析,,16-17
2,12-26 23:00,18,伯恩利,1-0, 米堡,2.66,3.27,2.69,欧/析,,16-17
3,12-26 23:00,18,切尔西,3-0, 伯恩茅斯,1.29,5.48,11.02,欧/析,,16-17
4,12-26 23:00,18,阿森纳,1-0, 西布朗,1.33,5.23,9.40,欧/析,,16-17
5,12-26 23:00,18,曼联,3-1, 桑德兰,1.25,5.73,12.24,欧/析,,16-17
6,12-26 23:00,18,斯旺西,1-4, 西汉姆,2.58,3.32,2.73,欧/析,,16-17
7,12-27 01:15,18,赫尔城,0-3, 曼城,9.18,5.12,1.34,欧/析,,16-17
8,12-28 01:15,18,利物浦,4-1, 斯托克城,1.35,5.08,8.55,欧/析,,16-17
9,12-29 03:45,18,南安普敦,1-4, 热刺,2.73,3.32,2.58,欧/析,,16-17
0,12-31 04:00,19,赫尔城,2-2, 埃弗顿,4.49,3.69,1.78,欧/析,,16-17
1,12-31 23:00,19,切尔西,4-2, 斯托克城,1.28,5.64,10.05,欧/析,,16-17
2,12-31 23:00,19,莱切城,1-0, 西汉姆,2.02,3.40,3.71,欧/析,,16-17
3,12-31 23:00,19,伯恩利,4-1, 桑德兰,2.18,3.28,3.42,欧/析,,16-17
4,12-31 23:00,19,曼联,2-1, 米堡,1.29,5.41,10.40,欧/析,,16-17
5,12-31 23:00,19,斯旺西,0-3, 伯恩茅斯,2.67,3.29,2.65,欧/析,,16-17
6,12-31 23:00,19,南安普敦,1-2, 西布朗,1.68,3.71,5.19,欧/析,,16-17
7,01-01 01:30,19,利物浦,1-0, 曼城,2.39,3.37,2.98,欧/析,,16-17
8,01-01 21:30,19,沃特福德,1-4, 热刺,4.42,3.53,1.83,欧/析,,16-17
9,01-02 00:00,19,阿森纳,2-0, 水晶宫,1.29,5.53,9.79,欧/析,,16-17
0,01-02 20:30,20,米堡,0-0, 莱切城,2.55,3.23,2.88,欧/析,,16-17
1,01-02 23:00,20,埃弗顿,3-0, 南安普敦,2.32,3.26,3.18,欧/析,,16-17
2,01-02 23:00,20,曼城,2-1, 伯恩利,1.15,8.02,18.46,欧/析,,16-17
3,01-02 23:00,20,西布朗,3-1, 赫尔城,1.80,3.52,4.74,欧/析,,16-17
4,01-02 23:00,20,桑德兰,2-2, 利物浦,7.71,4.52,1.46,欧/析,,16-17
5,01-03 01:15,20,西汉姆,0-2, 曼联,4.77,3.65,1.76,欧/析,,16-17
6,01-04 03:45,20,伯恩茅斯,3-3, 阿森纳,4.73,3.68,1.75,欧/析,,16-17
7,01-04 04:00,20,水晶宫,1-2, 斯旺西,2.01,3.40,3.83,欧/析,,16-17
8,01-04 04:00,20,斯托克城,2-0, 沃特福德,2.19,3.31,3.42,欧/析,,16-17
9,01-05 04:00,20,热刺,2-0, 切尔西,2.77,3.26,2.59,欧/析,,16-17
0,01-14 20:30,21,热刺,4-0, 西布朗,1.36,5.06,8.21,欧/析,,16-17
1,01-14 23:00,21,伯恩利,1-0, 南安普敦,3.92,3.44,2.00,欧/析,,16-17
2,01-14 23:00,21,沃特福德,0-0, 米堡,2.28,3.26,3.18,欧/析,,16-17
3,01-14 23:00,21,桑德兰,1-3, 斯托克城,2.82,3.28,2.49,欧/析,,16-17
4,01-14 23:00,21,赫尔城,3-1, 伯恩茅斯,3.14,3.33,2.28,欧/析,,16-17
5,01-14 23:00,21,西汉姆,3-0, 水晶宫,2.13,3.36,3.45,欧/析,,16-17
6,01-14 23:00,21,斯旺西,0-4, 阿森纳,7.52,4.54,1.40,欧/析,,16-17
7,01-15 01:30,21,莱切城,0-3, 切尔西,4.92,3.83,1.68,欧/析,,16-17
8,01-15 21:30,21,埃弗顿,4-0, 曼城,4.00,3.59,1.89,欧/析,,16-17
9,01-16 00:00,21,曼联,1-1, 利物浦,2.16,3.34,3.35,欧/析,,16-17
0,01-21 20:30,22,利物浦,2-3, 斯旺西,1.23,6.19,12.44,欧/析,,16-17
1,01-21 23:00,22,斯托克城,1-1, 曼联,5.14,3.67,1.69,欧/析,,16-17
2,01-21 23:00,22,水晶宫,0-1, 埃弗顿,2.81,3.28,2.50,欧/析,,16-17
3,01-21 23:00,22,米堡,1-3, 西汉姆,2.61,3.25,2.72,欧/析,,16-17
4,01-21 23:00,22,西布朗,2-0, 桑德兰,1.86,3.49,4.32,欧/析,,16-17
5,01-21 23:00,22,伯恩茅斯,2-2, 沃特福德,1.95,3.49,3.86,欧/析,,16-17
6,01-22 01:30,22,曼城,2-2, 热刺,1.82,3.64,4.23,欧/析,,16-17
7,01-22 20:00,22,南安普敦,3-0, 莱切城,1.95,3.45,4.01,欧/析,,16-17
8,01-22 22:15,22,阿森纳,2-1, 伯恩利,1.24,6.14,11.92,欧/析,,16-17
9,01-23 00:30,22,切尔西,2-0, 赫尔城,1.20,6.50,14.08,欧/析,,16-17
0,02-01 03:45,23,伯恩茅斯,0-2, 水晶宫,1.96,3.43,4.01,欧/析,,16-17
1,02-01 03:45,23,斯旺西,2-1, 南安普敦,3.58,3.39,2.10,欧/析,,16-17
2,02-01 03:45,23,米堡,1-1, 西布朗,2.46,3.22,2.96,欧/析,,16-17
3,02-01 03:45,23,桑德兰,0-0, 热刺,5.79,4.28,1.56,欧/析,,16-17
4,02-01 03:45,23,阿森纳,1-2, 沃特福德,1.24,6.02,12.79,欧/析,,16-17
5,02-01 03:45,23,伯恩利,1-0, 莱切城,2.99,3.25,2.45,欧/析,,16-17
6,02-01 04:00,23,利物浦,1-1, 切尔西,2.39,3.35,2.96,欧/析,,16-17
7,02-02 03:45,23,西汉姆,0-4, 曼城,5.63,4.09,1.59,欧/析,,16-17
8,02-02 04:00,23,曼联,0-0, 赫尔城,1.19,6.72,15.14,欧/析,,16-17
9,02-02 04:00,23,斯托克城,1-1, 埃弗顿,2.76,3.27,2.61,欧/析,,16-17
0,02-04 20:30,24,切尔西,3-1, 阿森纳,2.03,3.47,3.66,欧/析,,16-17
1,02-04 23:00,24,水晶宫,0-4, 桑德兰,1.86,3.58,4.25,欧/析,,16-17
2,02-04 23:00,24,赫尔城,2-0, 利物浦,8.80,4.83,1.37,欧/析,,16-17
3,02-04 23:00,24,南安普敦,1-3, 西汉姆,1.81,3.57,4.70,欧/析,,16-17
4,02-04 23:00,24,西布朗,1-0, 斯托克城,2.27,3.25,3.30,欧/析,,16-17
5,02-04 23:00,24,沃特福德,2-1, 伯恩利,1.88,3.49,4.34,欧/析,,16-17
6,02-04 23:00,24,埃弗顿,6-3, 伯恩茅斯,1.79,3.57,4.74,欧/析,,16-17
7,02-05 01:30,24,热刺,1-0, 米堡,1.25,5.86,11.64,欧/析,,16-17
8,02-05 21:30,24,曼城,2-1, 斯旺西,1.19,6.80,16.01,欧/析,,16-17
9,02-06 00:00,24,莱切城,0-3, 曼联,4.42,3.61,1.84,欧/析,,16-17
0,02-11 20:30,25,阿森纳,2-0, 赫尔城,1.18,7.15,15.76,欧/析,,16-17
1,02-11 23:00,25,西汉姆,2-2, 西布朗,2.13,3.31,3.58,欧/析,,16-17
2,02-11 23:00,25,斯托克城,1-0, 水晶宫,1.91,3.50,4.17,欧/析,,16-17
3,02-11 23:00,25,桑德兰,0-4, 南安普敦,3.67,3.38,2.06,欧/析,,16-17
4,02-11 23:00,25,米堡,0-0, 埃弗顿,3.10,3.23,2.38,欧/析,,16-17
5,02-11 23:00,25,曼联,2-0, 沃特福德,1.22,6.17,13.51,欧/析,,16-17
6,02-12 01:30,25,利物浦,2-0, 热刺,2.16,3.35,3.44,欧/析,,16-17
7,02-12 21:30,25,伯恩利,1-1, 切尔西,7.47,4.37,1.46,欧/析,,16-17
8,02-13 00:00,25,斯旺西,2-0, 莱切城,2.93,3.29,2.46,欧/析,,16-17
9,02-14 04:00,25,伯恩茅斯,0-2, 曼城,5.62,3.83,1.63,欧/析,,16-17
0,02-25 23:00,26,水晶宫,1-0, 米堡,2.00,3.42,3.82,欧/析,,16-17
1,02-25 23:00,26,赫尔城,1-1, 伯恩利,2.27,3.28,3.25,欧/析,,16-17
2,02-25 23:00,26,西布朗,2-1, 伯恩茅斯,2.23,3.28,3.28,欧/析,,16-17
3,02-25 23:00,26,南安普敦,	   		延期,	             , 阿森纳,3.80,3.59,1.93,欧/析,16-17
4,02-25 23:00,26,埃弗顿,2-0, 桑德兰,1.48,4.09,7.49,欧/析,,16-17
5,02-25 23:00,26,切尔西,3-1, 斯旺西,1.19,6.65,14.65,欧/析,,16-17
6,02-26 01:30,26,沃特福德,1-1, 西汉姆,2.45,3.27,2.95,欧/析,,16-17
7,02-26 21:30,26,热刺,4-0, 斯托克城,1.35,4.79,9.17,欧/析,,16-17
8,02-26 22:15,26,曼城,	   		延期,	             , 曼联,1.97,3.43,3.79,欧/析,16-17
9,02-28 04:00,26,莱切城,3-1, 利物浦,4.70,3.66,1.80,欧/析,,16-17
10,04-28 03:00,26,曼城,0-0, 曼联,1.96,3.40,3.88,欧/析,,16-17
11,05-11 02:45,26,南安普敦,0-2, 阿森纳,3.84,3.61,1.93,欧/析,,16-17
0,03-04 20:30,27,曼联,1-1, 伯恩茅斯,1.27,5.57,10.80,欧/析,,16-17
1,03-04 23:00,27,斯旺西,3-2, 伯恩利,2.10,3.33,3.56,欧/析,,16-17
2,03-04 23:00,27,西布朗,0-2, 水晶宫,1.94,3.48,4.12,欧/析,,16-17
3,03-04 23:00,27,沃特福德,3-4, 南安普敦,3.02,3.27,2.39,欧/析,,16-17
4,03-04 23:00,27,斯托克城,2-0, 米堡,1.84,3.38,4.60,欧/析,,16-17
5,03-04 23:00,27,莱切城,3-1, 赫尔城,1.76,3.53,4.84,欧/析,,16-17
6,03-05 01:30,27,利物浦,3-1, 阿森纳,2.17,3.35,3.21,欧/析,,16-17
7,03-05 21:30,27,热刺,3-2, 埃弗顿,1.57,3.85,6.16,欧/析,,16-17
8,03-06 00:00,27,桑德兰,0-2, 曼城,8.10,4.67,1.40,欧/析,,16-17
9,03-07 04:00,27,西汉姆,1-2, 切尔西,5.63,3.80,1.63,欧/析,,16-17
0,03-09 04:00,28,曼城,0-0, 斯托克城,1.27,5.59,10.05,欧/析,,16-17
1,03-11 23:00,28,水晶宫,	   		延期,	             , 热刺,5.84,3.83,1.60,欧/析,16-17
2,03-11 23:00,28,米堡,	   		延期,	             , 桑德兰,1.96,3.42,3.92,欧/析,16-17
3,03-11 23:00,28,伯恩茅斯,3-2, 西汉姆,2.34,3.32,2.98,欧/析,,16-17
4,03-11 23:00,28,埃弗顿,3-0, 西布朗,1.67,3.64,5.38,欧/析,,16-17
5,03-11 23:00,28,赫尔城,2-1, 斯旺西,2.35,3.30,2.97,欧/析,,16-17
6,03-12 01:30,28,阿森纳,	   		延期,	             , 莱切城,1.39,4.74,7.87,欧/析,16-17
7,03-12 21:30,28,南安普敦,	   		延期,	             , 曼联,3.56,3.42,2.08,欧/析,16-17
8,03-13 00:00,28,利物浦,2-1, 伯恩利,1.22,6.45,13.31,欧/析,,16-17
9,03-14 04:00,28,切尔西,	   		延期,	             , 沃特福德,1.17,7.26,15.03,欧/析,16-17
10,04-27 02:45,28,阿森纳,1-0, 莱切城,1.48,4.16,6.81,欧/析,,16-17
11,04-27 02:45,28,米堡,1-0, 桑德兰,1.90,3.19,4.49,欧/析,,16-17
12,04-27 03:00,28,水晶宫,0-1, 热刺,5.22,3.82,1.64,欧/析,,16-17
13,05-16 03:00,28,切尔西,4-3, 沃特福德,1.17,7.11,14.13,欧/析,,16-17
14,05-18 02:45,28,南安普敦,0-0, 曼联,2.98,3.46,2.32,欧/析,,16-17
0,03-18 20:30,29,西布朗,3-1, 阿森纳,4.96,3.68,1.71,欧/析,,16-17
1,03-18 23:00,29,水晶宫,1-0, 沃特福德,2.09,3.41,3.46,欧/析,,16-17
2,03-18 23:00,29,桑德兰,0-0, 伯恩利,2.14,3.31,3.44,欧/析,,16-17
3,03-18 23:00,29,斯托克城,1-2, 切尔西,5.72,3.90,1.59,欧/析,,16-17
4,03-18 23:00,29,西汉姆,2-3, 莱切城,2.01,3.35,3.75,欧/析,,16-17
5,03-18 23:00,29,埃弗顿,4-0, 赫尔城,1.53,3.96,6.25,欧/析,,16-17
6,03-19 01:30,29,伯恩茅斯,2-0, 斯旺西,2.02,3.45,3.56,欧/析,,16-17
7,03-19 20:00,29,米堡,1-3, 曼联,5.77,3.66,1.62,欧/析,,16-17
8,03-19 22:15,29,热刺,2-1, 南安普敦,1.60,3.70,5.92,欧/析,,16-17
9,03-20 00:30,29,曼城,1-1, 利物浦,2.00,3.44,3.65,欧/析,,16-17
0,04-01 19:30,30,利物浦,3-1, 埃弗顿,1.66,3.67,5.37,欧/析,,16-17
1,04-01 22:00,30,伯恩利,0-2, 热刺,6.08,3.80,1.90,欧/析,,16-17
2,04-01 22:00,30,赫尔城,2-1, 西汉姆,2.66,3.25,2.71,欧/析,,16-17
3,04-01 22:00,30,沃特福德,1-0, 桑德兰,1.84,3.46,4.49,欧/析,,16-17
4,04-01 22:00,30,莱切城,2-0, 斯托克城,2.18,3.31,3.36,欧/析,,16-17
5,04-01 22:00,30,曼联,0-0, 西布朗,1.26,5.43,11.61,欧/析,,16-17
6,04-01 22:00,30,切尔西,1-2, 水晶宫,1.25,5.55,12.09,欧/析,,16-17
7,04-02 00:30,30,南安普敦,0-0, 伯恩茅斯,1.71,3.57,5.07,欧/析,,16-17
8,04-02 20:30,30,斯旺西,0-0, 米堡,1.99,3.26,4.15,欧/析,,16-17
9,04-02 23:00,30,阿森纳,2-2, 曼城,2.46,3.35,2.83,欧/析,,16-17
0,04-05 02:45,31,伯恩利,1-0, 斯托克城,2.49,3.26,2.84,欧/析,,16-17
1,04-05 02:45,31,莱切城,2-0, 桑德兰,1.73,3.48,5.12,欧/析,,16-17
2,04-05 02:45,31,沃特福德,2-0, 西布朗,2.33,3.27,3.07,欧/析,,16-17
3,04-05 03:00,31,曼联,1-1, 埃弗顿,1.62,3.73,5.90,欧/析,,16-17
4,04-06 02:45,31,南安普敦,3-1, 水晶宫,1.68,3.55,5.61,欧/析,,16-17
5,04-06 02:45,31,斯旺西,1-3, 热刺,5.67,3.76,1.64,欧/析,,16-17
6,04-06 02:45,31,阿森纳,3-0, 西汉姆,1.40,4.77,7.97,欧/析,,16-17
7,04-06 02:45,31,赫尔城,4-2, 米堡,2.25,3.20,3.43,欧/析,,16-17
8,04-06 03:00,31,切尔西,2-1, 曼城,2.23,3.33,3.21,欧/析,,16-17
9,04-06 03:00,31,利物浦,2-2, 伯恩茅斯,1.29,5.64,9.71,欧/析,,16-17
0,04-08 19:30,32,热刺,4-0, 沃特福德,1.27,5.40,11.10,欧/析,,16-17
1,04-08 22:00,32,西汉姆,1-0, 斯旺西,1.86,3.50,4.11,欧/析,,16-17
2,04-08 22:00,32,西布朗,0-1, 南安普敦,2.62,3.23,2.65,欧/析,,16-17
3,04-08 22:00,32,斯托克城,1-2, 利物浦,3.79,3.43,1.98,欧/析,,16-17
4,04-08 22:00,32,曼城,3-1, 赫尔城,1.16,6.85,17.34,欧/析,,16-17
5,04-08 22:00,32,米堡,0-0, 伯恩利,2.10,3.25,3.55,欧/析,,16-17
6,04-09 00:30,32,伯恩茅斯,1-3, 切尔西,6.02,3.86,1.56,欧/析,,16-17
7,04-09 20:30,32,桑德兰,0-3, 曼联,6.19,3.92,1.60,欧/析,,16-17
8,04-09 23:00,32,埃弗顿,4-2, 莱切城,1.75,3.42,5.24,欧/析,,16-17
9,04-11 03:00,32,水晶宫,3-0, 阿森纳,5.48,3.72,1.63,欧/析,,16-17
0,04-15 19:30,33,热刺,4-0, 伯恩茅斯,1.29,5.08,9.57,欧/析,,16-17
1,04-15 22:00,33,埃弗顿,3-1, 伯恩利,1.45,4.22,6.89,欧/析,,16-17
2,04-15 22:00,33,斯托克城,3-1, 赫尔城,1.72,3.49,4.85,欧/析,,16-17
3,04-15 22:00,33,桑德兰,2-2, 西汉姆,2.94,3.29,2.31,欧/析,,16-17
4,04-15 22:00,33,沃特福德,1-0, 斯旺西,2.22,3.28,3.11,欧/析,,16-17
5,04-15 22:00,33,水晶宫,2-2, 莱切城,2.41,3.29,2.79,欧/析,,16-17
6,04-16 00:30,33,南安普敦,0-3, 曼城,4.57,3.47,1.74,欧/析,,16-17
7,04-16 20:30,33,西布朗,0-1, 利物浦,4.56,3.55,1.75,欧/析,,16-17
8,04-16 23:00,33,曼联,2-0, 切尔西,2.37,3.29,2.85,欧/析,,16-17
9,04-18 03:00,33,米堡,1-2, 阿森纳,5.60,3.74,1.59,欧/析,,16-17
0,04-22 19:30,34,曼城,	   		延期,	             , 西布朗,1.22,6.33,11.66,欧/析,16-17
1,04-22 22:00,34,赫尔城,2-0, 沃特福德,2.21,3.30,3.23,欧/析,,16-17
2,04-22 22:00,34,西汉姆,0-0, 埃弗顿,3.03,3.26,2.38,欧/析,,16-17
3,04-22 22:00,34,伯恩茅斯,4-0, 米堡,1.92,3.36,4.06,欧/析,,16-17
4,04-22 22:00,34,斯旺西,2-0, 斯托克城,2.30,3.26,3.14,欧/析,,16-17
5,04-22 22:00,34,阿森纳,	   		延期,	             , 桑德兰,1.17,7.35,15.36,欧/析,16-17
6,04-23 19:00,34,莱切城,	   		延期,	             , 热刺,4.63,3.65,1.77,欧/析,16-17
7,04-23 21:15,34,切尔西,	   		延期,	             , 南安普敦,1.40,4.47,7.74,欧/析,16-17
8,04-23 21:15,34,伯恩利,0-2, 曼联,5.30,3.57,1.69,欧/析,,16-17
9,04-23 23:30,34,利物浦,1-2, 水晶宫,1.42,4.33,7.64,欧/析,,16-17
10,04-26 02:45,34,切尔西,4-2, 南安普敦,1.40,4.50,7.95,欧/析,,16-17
11,05-17 02:45,34,阿森纳,2-0, 桑德兰,1.15,7.81,16.97,欧/析,,16-17
12,05-17 03:00,34,曼城,3-1, 西布朗,1.20,6.48,12.53,欧/析,,16-17
13,05-19 02:45,34,莱切城,1-6, 热刺,4.75,3.79,1.69,欧/析,,16-17
0,04-29 22:00,35,斯托克城,0-0, 西汉姆,2.28,3.27,3.15,欧/析,,16-17
1,04-29 22:00,35,桑德兰,0-1, 伯恩茅斯,2.97,3.30,2.38,欧/析,,16-17
2,04-29 22:00,35,西布朗,0-1, 莱切城,2.47,3.25,2.84,欧/析,,16-17
3,04-29 22:00,35,南安普敦,0-0, 赫尔城,1.59,3.84,5.98,欧/析,,16-17
4,04-30 00:30,35,水晶宫,0-2, 伯恩利,1.93,3.27,4.19,欧/析,,16-17
5,04-30 19:00,35,曼联,1-1, 斯旺西,1.28,5.27,11.20,欧/析,,16-17
6,04-30 21:05,35,埃弗顿,0-3, 切尔西,4.98,3.57,1.73,欧/析,,16-17
7,04-30 21:05,35,米堡,2-2, 曼城,7.41,4.29,1.45,欧/析,,16-17
8,04-30 23:30,35,热刺,2-0, 阿森纳,2.10,3.33,3.46,欧/析,,16-17
9,05-02 03:00,35,沃特福德,0-1, 利物浦,5.71,3.79,1.61,欧/析,,16-17
0,05-06 03:00,36,西汉姆,1-0, 热刺,4.53,3.60,1.82,欧/析,,16-17
1,05-06 19:30,36,曼城,5-0, 水晶宫,1.23,6.13,11.58,欧/析,,16-17
2,05-06 22:00,36,伯恩茅斯,2-2, 斯托克城,2.27,3.35,3.06,欧/析,,16-17
3,05-06 22:00,36,赫尔城,0-2, 桑德兰,1.87,3.46,4.37,欧/析,,16-17
4,05-06 22:00,36,莱切城,3-0, 沃特福德,1.71,3.60,5.00,欧/析,,16-17
5,05-06 22:00,36,伯恩利,2-2, 西布朗,2.33,3.20,3.12,欧/析,,16-17
6,05-07 00:30,36,斯旺西,1-0, 埃弗顿,3.56,3.34,2.09,欧/析,,16-17
7,05-07 20:30,36,利物浦,0-0, 南安普敦,1.56,3.88,6.20,欧/析,,16-17
8,05-07 23:00,36,阿森纳,2-0, 曼联,2.46,3.28,2.84,欧/析,,16-17
9,05-09 03:00,36,切尔西,3-0, 米堡,1.17,6.56,19.38,欧/析,,16-17
0,05-13 02:45,37,埃弗顿,1-0, 沃特福德,1.52,3.95,6.85,欧/析,,16-17
1,05-13 03:00,37,西布朗,0-1, 切尔西,5.80,3.91,1.57,欧/析,,16-17
2,05-13 19:30,37,曼城,2-1, 莱切城,1.33,5.11,8.80,欧/析,,16-17
3,05-13 22:00,37,桑德兰,0-2, 斯旺西,2.55,3.30,2.75,欧/析,,16-17
4,05-13 22:00,37,米堡,1-2, 南安普敦,4.44,3.38,1.92,欧/析,,16-17
5,05-13 22:00,37,伯恩茅斯,2-1, 伯恩利,2.00,3.36,3.70,欧/析,,16-17
6,05-14 00:30,37,斯托克城,1-4, 阿森纳,3.55,3.49,2.09,欧/析,,16-17
7,05-14 19:00,37,水晶宫,4-0, 赫尔城,1.89,3.49,4.15,欧/析,,16-17
8,05-14 21:15,37,西汉姆,0-4, 利物浦,4.02,3.56,1.90,欧/析,,16-17
9,05-14 23:30,37,热刺,2-1, 曼联,2.24,3.26,3.22,欧/析,,16-17
0,05-21 22:00,38,伯恩利,1-2, 西汉姆,2.31,3.43,3.02,欧/析,,16-17
1,05-21 22:00,38,南安普敦,0-1, 斯托克城,1.73,3.65,4.68,欧/析,,16-17
2,05-21 22:00,38,沃特福德,0-5, 曼城,7.74,4.44,1.41,欧/析,,16-17
3,05-21 22:00,38,莱切城,1-1, 伯恩茅斯,1.81,3.65,4.40,欧/析,,16-17
4,05-21 22:00,38,斯旺西,2-1, 西布朗,1.80,3.51,4.66,欧/析,,16-17
5,05-21 22:00,38,利物浦,3-0, 米堡,1.20,6.58,13.99,欧/析,,16-17
6,05-21 22:00,38,曼联,2-0, 水晶宫,1.54,4.01,6.22,欧/析,,16-17
7,05-21 22:00,38,赫尔城,1-7, 热刺,5.04,4.08,1.61,欧/析,,16-17
8,05-21 22:00,38,切尔西,5-1, 桑德兰,1.13,8.38,21.64,欧/析,,16-17
9,05-21 22:00,38,阿森纳,3-1, 埃弗顿,1.62,3.92,5.21,欧/析,,16-17
